Time,HR,Temp,BVP,x,y,z
00:08:44,78.77,37.91,-27.06,44,-10,1
00:08:45,78.82,37.89,-34.94,96,-15,23
00:08:46,78.88,37.89,-42.07,53,-6,-21
00:08:47,78.93,37.89,-47.34,62,-6,-10
00:08:48,78.97,37.89,-49.86,87,-6,-2
00:08:49,78.98,37.89,-49.21,88,-6,-8
00:08:50,79,37.89,-45.58,70,-1,-17
00:08:51,79.02,37.89,-39.63,64,0,-16
00:08:52,79.05,37.89,-32.25,57,2,-13
00:08:53,79.05,37.87,-24.33,59,0,-10
00:08:54,79.03,37.87,-16.61,57,-4,-8
00:08:55,79.03,37.87,-9.71,66,-10,-2
00:08:56,79.03,37.87,-4.27,69,-11,-2
00:08:57,79.03,37.84,-0.89,55,-14,-11
00:08:58,79,37.84,-0.09,50,-16,-11
00:08:59,78.97,37.84,-2.12,64,-14,-12
00:09:00,78.95,37.84,-6.84,69,-5,-9
00:09:01,78.93,37.87,-13.77,68,-9,-10
00:09:02,78.92,37.87,-22.17,64,-8,-7
00:09:03,78.9,37.87,-31.28,62,-8,-9
00:09:04,78.88,37.87,-40.49,66,-4,-6
00:09:05,78.87,37.83,-49.53,55,-5,0
00:09:06,78.87,37.83,-58.38,55,-6,5
00:09:07,78.87,37.83,-67.22,62,-8,-5
